file	group	status	title	year	venue	pdf_url	landing_url	notes
00_Survey_Beyond_Model_Adaptation_at_Test_Time.pdf	survey	download	Beyond Model Adaptation at Test Time: A Survey	2024	arXiv	https://arxiv.org/pdf/2411.03687	https://arxiv.org/abs/2411.03687	Taxonomy reference.
01_Tent.pdf	implemented	download	Tent: Fully Test-time Adaptation by Entropy Minimization	2021	ICLR	https://arxiv.org/pdf/2006.10726	https://openreview.net/forum?id=uXl3bZLkr3c	Implemented in NavTTA.
02_FSTTA.pdf	implemented	download	Fast-Slow Test-Time Adaptation for Online Vision-and-Language Navigation	2024	ICML	https://raw.githubusercontent.com/mlresearch/v235/main/assets/gao24p/gao24p.pdf	https://proceedings.mlr.press/v235/gao24p.html	Implemented in NavTTA.
03_EAM.pdf	implemented	local_copy	Source-Free Elastic Model Adaptation for Vision-and-Language Navigation	2025	IEEE TMM		https://doi.org/10.1109/TMM.2025.3535356	A valid 13-page institution-licensed IEEE PDF is present and its embedded DOI/title metadata were verified; it is not open access, its exact local acquisition URL is unknown, and it must not be redistributed.
04_FeedTTA.pdf	implemented	download	Test-Time Adaptation for Online Vision-Language Navigation with Feedback-based Reinforcement Learning	2025	ICML	https://raw.githubusercontent.com/mlresearch/v267/main/assets/kim25ad/kim25ad.pdf	https://proceedings.mlr.press/v267/kim25ad.html	Implemented in NavTTA; feedback-supervised.
05_ATENA.pdf	implemented	download	Active Test-time Vision-Language Navigation	2025	NeurIPS	https://arxiv.org/pdf/2506.06630	https://arxiv.org/abs/2506.06630	Implemented in NavTTA; active binary feedback.
06_EATA.pdf	candidate_primary	download	Efficient Test-Time Model Adaptation without Forgetting	2022	ICML	https://arxiv.org/pdf/2204.02610	https://arxiv.org/abs/2204.02610	Reliable entropy filtering and Fisher regularization.
07_SAR.pdf	candidate_primary	download	Towards Stable Test-Time Adaptation in Dynamic Wild World	2023	ICLR	https://arxiv.org/pdf/2302.12400	https://openreview.net/forum?id=g2YraF75Tj	Sharpness-aware reliable entropy minimization.
08_CoTTA.pdf	candidate_primary	download	Continual Test-Time Domain Adaptation	2022	CVPR	https://arxiv.org/pdf/2203.13591	https://arxiv.org/abs/2203.13591	EMA teacher, augmentation consistency, source restoration.
09_ViDA.pdf	candidate_primary	download	ViDA: Homeostatic Visual Domain Adapter for Continual Test Time Adaptation	2024	ICLR	https://arxiv.org/pdf/2306.04344	https://arxiv.org/abs/2306.04344	Low/high-rank adapters with teacher consistency.
10_RoTTA.pdf	candidate_primary	download	Robust Test-Time Adaptation in Dynamic Scenarios	2023	CVPR	https://arxiv.org/pdf/2303.13899	https://arxiv.org/abs/2303.13899	Teacher and timeliness-aware memory for correlated streams.
11_BiTTA.pdf	candidate_primary	download	Test-Time Adaptation with Binary Feedback	2025	ICML	https://arxiv.org/pdf/2505.18514	https://arxiv.org/abs/2505.18514	Feedback-supervised RL setting.
12_PDF_VLA.pdf	candidate_primary	download	Test-Time Perturbation Tuning with Delayed Feedback for Vision-Language-Action Models	2026	CVPR	https://openaccess.thecvf.com/content/CVPR2026/papers/Zang_Test-Time_Perturbation_Tuning_with_Delayed_Feedback_for_Vision-Language-Action_Models_CVPR_2026_paper.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Zang_Test-Time_Perturbation_Tuning_with_Delayed_Feedback_for_Vision-Language-Action_Models_CVPR_2026_paper.html	Frozen base VLA; episode-delayed update of perturbation head.
13_PDF_VLA_supplement.pdf	supplement	download	Test-Time Perturbation Tuning with Delayed Feedback for Vision-Language-Action Models: Supplement	2026	CVPR Supplement	https://openaccess.thecvf.com/content/CVPR2026/supplemental/Zang_Test-Time_Perturbation_Tuning_CVPR_2026_supplemental.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Zang_Test-Time_Perturbation_Tuning_with_Delayed_Feedback_for_Vision-Language-Action_Models_CVPR_2026_paper.html	Supplementary material.
14_ViTTA.pdf	candidate_secondary	download	Video Test-Time Adaptation for Action Recognition	2023	CVPR	https://arxiv.org/pdf/2211.15393	https://arxiv.org/abs/2211.15393	Temporal statistics and augmentation consistency.
15_TTT_MAE.pdf	candidate_secondary	download	Test-Time Training with Masked Autoencoders	2022	NeurIPS	https://arxiv.org/pdf/2209.07522	https://arxiv.org/abs/2209.07522	Masked reconstruction; requires compatible training preparation.
16_AdaContrast.pdf	candidate_secondary	download	Contrastive Test-Time Adaptation	2022	CVPR	https://arxiv.org/pdf/2204.10377	https://arxiv.org/abs/2204.10377	Contrastive queue and nearest-neighbor pseudo-labels.
17_RMT.pdf	candidate_secondary	download	Robust Mean Teacher for Continual and Gradual Test-Time Adaptation	2023	CVPR	https://arxiv.org/pdf/2211.13081	https://arxiv.org/abs/2211.13081	Mean teacher and contrastive source prototypes.
18_T3A.pdf	candidate_secondary	download	Test-Time Classifier Adjustment Module for Model-Agnostic Domain Generalization	2021	NeurIPS	https://proceedings.neurips.cc/paper_files/paper/2021/file/1415fe9fea0fa1e45dddcff5682239a0-Paper.pdf	https://proceedings.neurips.cc/paper_files/paper/2021/hash/1415fe9fea0fa1e45dddcff5682239a0-Abstract.html	Prototype/support adjustment without backpropagation.
19_DUA.pdf	candidate_secondary	download	The Norm Must Go On: Dynamic Unsupervised Domain Adaptation by Normalization	2022	CVPR	https://arxiv.org/pdf/2112.00463	https://arxiv.org/abs/2112.00463	Updates BatchNorm statistics only.
20_LAME.pdf	candidate_secondary	download	Parameter-free Online Test-time Adaptation	2022	CVPR	https://arxiv.org/pdf/2201.05718	https://arxiv.org/abs/2201.05718	Laplacian output adaptation; fixed-label-space assumption.
21_Diffusion_TTA.pdf	candidate_secondary	download	Diffusion-TTA: Test-time Adaptation of Discriminative Models via Generative Feedback	2023	NeurIPS	https://arxiv.org/pdf/2311.16102	https://arxiv.org/abs/2311.16102	Generative likelihood feedback; high computation and preparation cost.
22_DAVIS_VLN.pdf	navigation_adjacent	download	Anticipating the Unseen Discrepancy for Vision and Language Navigation	2022	ECCV	https://arxiv.org/pdf/2209.04725	https://arxiv.org/abs/2209.04725	VLN-native contrastive and observation consistency framework.
23_Global_Map_Consistency.pdf	navigation_adjacent	download	Self-Supervised Domain Adaptation for Visual Navigation with Global Map Consistency	2022	WACV	https://arxiv.org/pdf/2110.07184	https://arxiv.org/abs/2110.07184	Navigation-specific self-supervision; active round-trip adaptation.
24_Search_TTA.pdf	navigation_adjacent	download	Search-TTA: A Multimodal Test-Time Adaptation Framework for Visual Search in the Wild	2025	CoRL	https://arxiv.org/pdf/2505.11350	https://arxiv.org/abs/2505.11350	Embodied search; detector-derived spatial likelihood.
25_IDEA_VLN.pdf	navigation_adjacent	download	Turning Adaptation into Assets: Cross-Domain Bridging for Online Vision-Language Navigation	2026	ICML	https://arxiv.org/pdf/2605.23257	https://arxiv.org/abs/2605.23257	Soft visual prompts, moment matching, reusable adaptation assets.
26_PEA.pdf	representation_adjacent	download	Architecture-Agnostic Test-Time Adaptation via Backprop-Free Embedding Alignment	2026	ICLR	https://proceedings.iclr.cc/paper_files/paper/2026/file/cea5bc68b890bffb10f18aaaab2becb1-Paper-Conference.pdf	https://openreview.net/forum?id=7kLNGaAHaw	Backprop-free progressive embedding alignment; requires source statistics.
27_GOLD.pdf	representation_adjacent	download	The Golden Subspace: Where Efficiency Meets Generalization in Continual Test-Time Adaptation	2026	CVPR	https://openaccess.thecvf.com/content/CVPR2026/papers/Lai_The_Golden_Subspace_Where_Efficiency_Meets_Generalization_in_Continual_Test-Time_CVPR_2026_paper.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Lai_The_Golden_Subspace_Where_Efficiency_Meets_Generalization_in_Continual_Test-Time_CVPR_2026_paper.html	Low-rank classifier-sensitive continual adaptation subspace.
28_GOLD_supplement.pdf	supplement	download	The Golden Subspace: Supplement	2026	CVPR Supplement	https://openaccess.thecvf.com/content/CVPR2026/supplemental/Lai_The_Golden_Subspace_CVPR_2026_supplemental.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Lai_The_Golden_Subspace_Where_Efficiency_Meets_Generalization_in_Continual_Test-Time_CVPR_2026_paper.html	Supplementary material.
29_VITA.pdf	vla_robotics	download	VITA: Zero-Shot Value Functions via Test-Time Adaptation of Vision-Language Models	2026	ICLR	https://arxiv.org/pdf/2506.10085	https://arxiv.org/abs/2506.10085	Adapts a value-function adapter within trajectories; not an action-policy TTA.
30_EVOLVE_VLA.pdf	vla_robotics	download	EVOLVE-VLA: Test-Time Training from Environment Feedback for Vision-Language-Action Models	2025	arXiv	https://arxiv.org/pdf/2512.14666	https://arxiv.org/abs/2512.14666	Deployment learning from a learned dense progress signal.
31_Retrieve_then_Steer.pdf	vla_robotics	download	Retrieve-then-Steer: Online Success Memory for Test-Time Adaptation of Generative VLAs	2026	arXiv	https://arxiv.org/pdf/2605.10094	https://arxiv.org/abs/2605.10094	Non-parametric success memory; frozen VLA.
32_WAM_TTT.pdf	vla_robotics	download	WAM-TTT: Steering World-Action Models by Watching Human Play at Test Time	2026	arXiv	https://arxiv.org/pdf/2607.06988	https://arxiv.org/abs/2607.06988	Requires a specially trained world-action model and adaptive memory.
33_RoboTTT.pdf	vla_robotics	download	RoboTTT: Context Scaling for Robot Policies	2026	arXiv	https://arxiv.org/pdf/2607.15275	https://arxiv.org/abs/2607.15275	Fast-weight test-time training; requires dedicated pretraining.
34_MG_Select.pdf	test_time_scaling	download	Verifier-free Test-Time Sampling for Vision-Language-Action Models	2026	ICLR	https://arxiv.org/pdf/2510.05681	https://arxiv.org/abs/2510.05681	Sampling/selection baseline; no deployment-time parameter update.
35_RoboMonkey.pdf	test_time_scaling	download	RoboMonkey: Scaling Test-Time Sampling and Verification for Vision-Language-Action Models	2025	arXiv	https://arxiv.org/pdf/2506.17811	https://arxiv.org/abs/2506.17811	Sampling and verifier; not strict TTA.
36_GPC.pdf	test_time_scaling	download	Inference-Time Enhancement of Generative Robot Policies via Predictive World Modeling	2025	RSS	https://arxiv.org/pdf/2502.00622	https://arxiv.org/abs/2502.00622	World-model look-ahead/planning; frozen policy.
37_TTRV.pdf	vlm_adjacent	download	TTRV: Test-Time Reinforcement Learning for Vision Language Models	2026	CVPR	https://openaccess.thecvf.com/content/CVPR2026/papers/Singh_TTRV_Test-Time_Reinforcement_Learning_for_Vision_Language_Models_CVPR_2026_paper.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Singh_TTRV_Test-Time_Reinforcement_Learning_for_Vision_Language_Models_CVPR_2026_paper.html	VLM test-time RL; not yet an embodied navigation method.
38_TTRV_supplement.pdf	supplement	download	TTRV: Test-Time Reinforcement Learning for Vision Language Models: Supplement	2026	CVPR Supplement	https://openaccess.thecvf.com/content/CVPR2026/supplemental/Singh_TTRV_Test-Time_Reinforcement_CVPR_2026_supplemental.pdf	https://openaccess.thecvf.com/content/CVPR2026/html/Singh_TTRV_Test-Time_Reinforcement_Learning_for_Vision_Language_Models_CVPR_2026_paper.html	Supplementary material.
